USERID	CHECKTIME	CHECKTYPE	VERIFYCODE	SENSORID	Memoinfo	WorkCode	sn	UserExtFmt
5	6/11/2026 12:04:24 pm	I	1	1		0		0
5	6/11/2026 12:31:56 pm	I	1	1		0		0
5	6/11/2026 5:00:40 pm	I	1	1		0		0
5	6/15/2026 9:36:25 am	I	1	1		0		0
5	6/15/2026 6:17:49 pm	O	1	1		0		0
5	6/16/2026 8:57:15 am	I	1	1		0		0
5	6/16/2026 6:30:10 pm	O	1	1		0		0
5	6/17/2026 9:17:27 am	I	1	1		0		0
5	6/17/2026 6:01:49 pm	O	1	1		0		0
5	6/18/2026 9:12:06 am	I	1	1		0		0
5	6/18/2026 5:58:35 pm	O	1	1		0		0
5	6/19/2026 8:44:16 am	I	1	1		0		0
5	6/30/2026 6:57:27 am	I	1	1		0		0
6	6/9/2026 12:17:22 pm	I	15	1		0		0
6	6/9/2026 5:05:18 pm	I	15	1		0		0
6	6/10/2026 7:16:22 am	I	15	1		0		0
6	6/10/2026 12:04:58 pm	I	1	1		0		0
6	6/10/2026 12:59:19 pm	I	15	1		0		0
6	6/10/2026 5:06:59 pm	I	15	1		0		0
6	6/11/2026 7:54:33 am	I	15	1		0		0
6	6/11/2026 12:10:59 pm	I	15	1		0		0
6	6/11/2026 12:21:47 pm	I	15	1		0		0
6	6/11/2026 5:09:34 pm	I	1	1		0		0
6	6/15/2026 8:09:04 am	I	1	1		0		0
6	6/15/2026 1:28:39 pm	I	1	1		0		0
6	6/16/2026 8:10:15 am	I	1	1		0		0
6	6/16/2026 1:22:08 pm	I	1	1		0		0
6	6/16/2026 5:35:44 pm	O	1	1		0		0
6	6/17/2026 8:11:35 am	I	1	1		0		0
6	6/17/2026 1:34:39 pm	I	1	1		0		0
6	6/17/2026 5:38:51 pm	O	1	1		0		0
6	6/18/2026 8:09:48 am	I	1	1		0		0
6	6/18/2026 1:46:43 pm	I	1	1		0		0
6	6/18/2026 5:35:03 pm	O	1	1		0		0
6	6/19/2026 8:10:39 am	I	1	1		0		0
6	6/19/2026 1:37:35 pm	I	1	1		0		0
6	6/30/2026 8:06:28 am	I	1	1		0		0
7	6/9/2026 12:26:19 pm	I	15	1		0		0
7	6/9/2026 5:05:06 pm	I	15	1		0		0
7	6/10/2026 7:28:42 am	I	15	1		0		0
7	6/10/2026 12:01:02 pm	I	15	1		0		0
7	6/10/2026 12:23:03 pm	I	15	1		0		0
7	6/11/2026 7:45:31 am	I	15	1		0		0
7	6/11/2026 12:02:05 pm	I	15	1		0		0
7	6/11/2026 12:16:27 pm	I	15	1		0		0
7	6/11/2026 5:00:19 pm	I	1	1		0		0
7	6/15/2026 9:13:16 am	I	1	1		0		0
7	6/15/2026 6:10:22 pm	O	1	1		0		0
7	6/16/2026 6:23:51 pm	O	1	1		0		0
7	6/16/2026 6:29:50 pm	O	1	1		0		0
7	6/17/2026 9:21:34 am	I	1	1		0		0
7	6/17/2026 6:01:31 pm	O	1	1		0		0
7	6/18/2026 9:22:52 am	I	1	1		0		0
7	6/18/2026 6:00:25 pm	O	1	1		0		0
7	6/30/2026 7:46:24 am	I	1	1		0		0
8	6/9/2026 12:27:50 pm	I	15	1		0		0
8	6/9/2026 5:06:44 pm	I	15	1		0		0
8	6/15/2026 9:13:21 am	I	1	1		0		0
8	6/16/2026 9:42:43 am	I	1	1		0		0
8	6/16/2026 1:07:31 pm	I	1	1		0		0
8	6/30/2026 8:06:25 am	I	1	1		0		0
9	6/9/2026 12:29:34 pm	I	15	1		0		0
9	6/9/2026 5:01:04 pm	I	15	1		0		0
9	6/10/2026 7:23:11 am	I	15	1		0		0
9	6/10/2026 12:03:49 pm	I	1	1		0		0
9	6/10/2026 12:48:04 pm	I	15	1		0		0
9	6/10/2026 5:01:51 pm	I	1	1		0		0
9	6/11/2026 7:23:14 am	I	1	1		0		0
9	6/11/2026 12:01:25 pm	I	1	1		0		0
9	6/11/2026 12:39:40 pm	I	15	1		0		0
9	6/11/2026 5:02:26 pm	I	1	1		0		0
9	6/15/2026 8:12:59 am	I	1	1		0		0
9	6/15/2026 5:12:35 pm	O	1	1		0		0
9	6/16/2026 8:09:26 am	I	1	1		0		0
9	6/16/2026 5:12:35 pm	I	1	1		0		0
9	6/17/2026 8:10:34 am	I	1	1		0		0
9	6/17/2026 5:09:46 pm	O	1	1		0		0
9	6/18/2026 8:35:01 am	I	1	1		0		0
9	6/18/2026 5:16:48 pm	O	1	1		0		0
9	6/19/2026 8:29:47 am	I	1	1		0		0
9	6/30/2026 8:07:41 am	I	1	1		0		0
10	6/9/2026 12:31:20 pm	I	1	1		0		0
10	6/9/2026 5:06:14 pm	I	15	1		0		0
10	6/10/2026 7:27:51 am	I	1	1		0		0
10	6/10/2026 12:02:15 pm	I	1	1		0		0
10	6/10/2026 12:42:51 pm	I	1	1		0		0
10	6/10/2026 5:07:13 pm	I	1	1		0		0
10	6/11/2026 7:19:47 am	I	1	1		0		0
10	6/11/2026 12:00:09 pm	I	1	1		0		0
10	6/11/2026 12:43:58 pm	I	1	1		0		0
10	6/11/2026 5:07:36 pm	I	1	1		0		0
10	6/15/2026 8:23:07 am	I	1	1		0		0
10	6/15/2026 5:59:55 pm	O	1	1		0		0
10	6/16/2026 9:06:42 am	I	1	1		0		0
10	6/16/2026 5:36:08 pm	O	1	1		0		0
10	6/17/2026 8:19:55 am	I	1	1		0		0
10	6/17/2026 5:23:05 pm	O	1	1		0		0
10	6/18/2026 8:27:48 am	I	1	1		0		0
10	6/18/2026 5:07:33 pm	O	1	1		0		0
10	6/19/2026 8:43:51 am	I	1	1		0		0
10	6/30/2026 7:41:13 am	I	64	1		0		0
11	6/9/2026 12:33:05 pm	I	1	1		0		0
11	6/10/2026 7:15:40 am	I	15	1		0		0
11	6/10/2026 12:00:37 pm	I	15	1		0		0
11	6/10/2026 12:20:25 pm	I	15	1		0		0
11	6/10/2026 5:00:25 pm	I	15	1		0		0
11	6/11/2026 7:07:53 am	I	1	1		0		0
11	6/11/2026 12:00:04 pm	I	15	1		0		0
11	6/11/2026 12:16:34 pm	I	15	1		0		0
11	6/11/2026 5:08:31 pm	I	15	1		0		0
11	6/15/2026 8:53:12 am	I	1	1		0		0
11	6/15/2026 5:49:36 pm	O	1	1		0		0
11	6/16/2026 8:29:31 am	I	1	1		0		0
11	6/16/2026 5:15:53 pm	O	1	1		0		0
11	6/17/2026 8:17:12 am	I	1	1		0		0
11	6/17/2026 5:54:00 pm	O	1	1		0		0
11	6/18/2026 8:10:52 am	I	1	1		0		0
11	6/18/2026 5:04:29 pm	O	1	1		0		0
11	6/19/2026 8:29:08 am	I	1	1		0		0
12	6/9/2026 12:35:03 pm	I	1	1		0		0
12	6/9/2026 5:05:56 pm	I	15	1		0		0
12	6/10/2026 7:10:25 am	I	1	1		0		0
12	6/10/2026 12:01:05 pm	I	1	1		0		0
12	6/10/2026 12:24:35 pm	I	1	1		0		0
12	6/10/2026 5:01:15 pm	I	1	1		0		0
12	6/11/2026 7:24:07 am	I	1	1		0		0
12	6/11/2026 12:02:17 pm	I	1	1		0		0
12	6/11/2026 12:31:49 pm	I	1	1		0		0
12	6/11/2026 5:00:33 pm	I	1	1		0		0
12	6/30/2026 8:45:32 am	I	1	1		0		0
13	6/9/2026 12:36:34 pm	I	1	1		0		0
13	6/9/2026 5:06:53 pm	I	15	1		0		0
13	6/10/2026 7:17:29 am	I	15	1		0		0
13	6/10/2026 12:03:31 pm	I	1	1		0		0
13	6/10/2026 12:17:48 pm	I	1	1		0		0
13	6/10/2026 5:16:09 pm	I	15	1		0		0
13	6/11/2026 7:54:00 am	I	15	1		0		0
13	6/11/2026 12:02:40 pm	I	15	1		0		0
13	6/11/2026 12:36:13 pm	I	15	1		0		0
13	6/11/2026 5:04:51 pm	I	15	1		0		0
13	6/15/2026 8:22:34 am	I	1	1		0		0
13	6/15/2026 6:06:42 pm	O	1	1		0		0
13	6/16/2026 8:19:58 am	I	1	1		0		0
13	6/16/2026 6:04:55 pm	O	1	1		0		0
13	6/16/2026 6:22:21 pm	I	1	1		0		0
13	6/17/2026 8:30:43 am	I	1	1		0		0
13	6/17/2026 5:57:24 pm	O	1	1		0		0
13	6/18/2026 9:21:33 am	I	1	1		0		0
13	6/18/2026 6:00:20 pm	O	1	1		0		0
13	6/19/2026 8:43:10 am	I	1	1		0		0
14	6/9/2026 12:38:08 pm	I	15	1		0		0
14	6/9/2026 5:02:43 pm	I	1	1		0		0
14	6/10/2026 7:13:33 am	I	1	1		0		0
14	6/10/2026 12:04:28 pm	I	1	1		0		0
14	6/10/2026 12:16:36 pm	I	1	1		0		0
14	6/10/2026 5:01:28 pm	I	1	1		0		0
14	6/11/2026 7:11:57 am	I	1	1		0		0
14	6/11/2026 12:01:17 pm	I	1	1		0		0
14	6/11/2026 12:17:44 pm	I	1	1		0		0
14	6/11/2026 5:02:06 pm	I	1	1		0		0
14	6/15/2026 8:14:24 am	I	1	1		0		0
14	6/16/2026 8:13:58 am	I	1	1		0		0
14	6/17/2026 8:13:45 am	I	1	1		0		0
14	6/18/2026 8:08:29 am	I	1	1		0		0
14	6/19/2026 8:15:25 am	I	1	1		0		0
14	6/30/2026 7:43:04 am	I	1	1		0		0
15	6/9/2026 12:39:25 pm	I	15	1		0		0
15	6/9/2026 5:05:22 pm	I	1	1		0		0
15	6/10/2026 7:15:45 am	I	1	1		0		0
15	6/10/2026 12:04:46 pm	I	1	1		0		0
15	6/10/2026 12:47:43 pm	I	1	1		0		0
15	6/10/2026 5:04:56 pm	I	1	1		0		0
15	6/11/2026 7:17:47 am	I	1	1		0		0
15	6/11/2026 12:02:53 pm	I	1	1		0		0
15	6/11/2026 5:04:12 pm	I	1	1		0		0
16	6/9/2026 12:40:54 pm	I	1	1		0		0
16	6/9/2026 5:05:35 pm	I	15	1		0		0
16	6/10/2026 7:08:48 am	I	1	1		0		0
16	6/10/2026 12:04:54 pm	I	1	1		0		0
16	6/10/2026 12:44:35 pm	I	1	1		0		0
16	6/10/2026 5:02:57 pm	I	1	1		0		0
16	6/11/2026 7:30:44 am	I	1	1		0		0
16	6/11/2026 12:02:56 pm	I	1	1		0		0
16	6/11/2026 12:17:56 pm	I	1	1		0		0
16	6/30/2026 7:34:09 am	I	1	1		0		0
17	6/9/2026 12:42:44 pm	I	15	1		0		0
17	6/10/2026 7:19:06 am	I	15	1		0		0
17	6/10/2026 12:02:23 pm	I	1	1		0		0
17	6/10/2026 12:20:36 pm	I	15	1		0		0
17	6/10/2026 5:00:03 pm	I	1	1		0		0
17	6/11/2026 7:31:28 am	I	15	1		0		0
17	6/11/2026 12:02:13 pm	I	1	1		0		0
17	6/11/2026 12:21:33 pm	I	1	1		0		0
17	6/11/2026 5:00:23 pm	I	1	1		0		0
17	6/30/2026 7:23:12 am	I	1	1		0		0
18	6/9/2026 12:44:09 pm	I	15	1		0		0
18	6/10/2026 7:15:59 am	I	1	1		0		0
18	6/10/2026 12:05:08 pm	I	1	1		0		0
18	6/10/2026 12:29:17 pm	I	1	1		0		0
18	6/10/2026 5:02:37 pm	I	1	1		0		0
18	6/11/2026 7:27:38 am	I	1	1		0		0
18	6/11/2026 12:01:31 pm	I	1	1		0		0
18	6/11/2026 12:42:56 pm	I	15	1		0		0
18	6/11/2026 5:02:33 pm	I	1	1		0		0
18	6/30/2026 9:36:31 am	I	1	1		0		0
19	6/9/2026 12:45:48 pm	I	15	1		0		0
19	6/9/2026 5:05:00 pm	I	15	1		0		0
19	6/10/2026 7:52:20 am	I	15	1		0		0
19	6/10/2026 12:06:35 pm	I	1	1		0		0
19	6/10/2026 12:16:23 pm	I	15	1		0		0
19	6/10/2026 6:04:49 pm	I	15	1		0		0
19	6/11/2026 7:52:07 am	I	15	1		0		0
19	6/11/2026 12:05:00 pm	I	15	1		0		0
19	6/11/2026 12:40:33 pm	I	15	1		0		0
19	6/11/2026 5:03:45 pm	I	15	1		0		0
19	6/30/2026 10:08:49 am	I	1	1		0		0
20	6/9/2026 12:48:05 pm	I	15	1		0		0
20	6/10/2026 7:48:24 am	I	15	1		0		0
20	6/10/2026 12:01:27 pm	I	1	1		0		0
20	6/10/2026 12:43:17 pm	I	1	1		0		0
20	6/10/2026 5:05:12 pm	I	1	1		0		0
20	6/11/2026 12:00:31 pm	I	1	1		0		0
20	6/11/2026 12:42:41 pm	I	1	1		0		0
20	6/11/2026 5:07:58 pm	I	1	1		0		0
20	6/30/2026 8:42:54 am	I	1	1		0		0
21	6/9/2026 1:01:17 pm	I	15	1		0		0
21	6/9/2026 5:02:50 pm	I	1	1		0		0
21	6/10/2026 7:20:20 am	I	1	1		0		0
21	6/10/2026 12:03:35 pm	I	1	1		0		0
21	6/10/2026 12:16:31 pm	I	1	1		0		0
21	6/10/2026 5:51:56 pm	I	1	1		0		0
21	6/11/2026 7:02:47 am	I	1	1		0		0
21	6/11/2026 12:02:21 pm	I	1	1		0		0
21	6/11/2026 12:18:33 pm	I	1	1		0		0
21	6/11/2026 5:02:14 pm	I	1	1		0		0
21	6/30/2026 7:02:44 am	I	64	1		0		0
22	6/9/2026 1:12:19 pm	I	15	1		0		0
22	6/9/2026 5:02:03 pm	I	1	1		0		0
22	6/10/2026 7:39:47 am	I	1	1		0		0
22	6/10/2026 12:02:46 pm	I	1	1		0		0
22	6/10/2026 12:48:16 pm	I	15	1		0		0
22	6/10/2026 5:00:47 pm	I	1	1		0		0
22	6/11/2026 7:39:10 am	I	15	1		0		0
22	6/11/2026 12:01:37 pm	I	1	1		0		0
22	6/11/2026 12:17:01 pm	I	1	1		0		0
22	6/11/2026 5:00:03 pm	I	1	1		0		0
22	6/30/2026 5:37:11 am	I	1	1		0		0
23	6/9/2026 1:17:06 pm	I	15	1		0		0
23	6/10/2026 7:19:12 am	I	15	1		0		0
23	6/10/2026 12:01:52 pm	I	15	1		0		0
23	6/10/2026 12:15:19 pm	I	15	1		0		0
23	6/10/2026 5:00:29 pm	I	15	1		0		0
23	6/11/2026 7:29:48 am	I	15	1		0		0
23	6/11/2026 12:01:13 pm	I	15	1		0		0
23	6/11/2026 12:15:29 pm	I	15	1		0		0
23	6/11/2026 5:01:18 pm	I	1	1		0		0
24	6/9/2026 5:08:55 pm	I	15	1		0		0
24	6/10/2026 7:39:09 am	I	1	1		0		0
24	6/10/2026 12:04:01 pm	I	1	1		0		0
24	6/10/2026 5:02:04 pm	I	1	1		0		0
24	6/11/2026 7:39:56 am	I	1	1		0		0
24	6/11/2026 12:02:33 pm	I	15	1		0		0
24	6/11/2026 12:42:23 pm	I	15	1		0		0
24	6/11/2026 5:01:24 pm	I	1	1		0		0
24	6/30/2026 10:22:46 am	I	1	1		0		0
25	6/9/2026 5:12:02 pm	I	15	1		0		0
25	6/10/2026 7:58:45 am	I	15	1		0		0
25	6/10/2026 12:01:42 pm	I	15	1		0		0
25	6/10/2026 12:23:55 pm	I	15	1		0		0
25	6/10/2026 5:05:03 pm	I	15	1		0		0
25	6/11/2026 7:53:51 am	I	15	1		0		0
25	6/11/2026 12:03:08 pm	I	15	1		0		0
25	6/11/2026 12:22:53 pm	I	15	1		0		0
25	6/11/2026 5:02:57 pm	I	15	1		0		0
26	6/10/2026 7:27:40 am	I	1	1		0		0
26	6/10/2026 12:04:39 pm	I	1	1		0		0
26	6/10/2026 12:48:36 pm	I	1	1		0		0
26	6/10/2026 5:04:50 pm	I	1	1		0		0
26	6/11/2026 7:39:34 am	I	1	1		0		0
26	6/11/2026 12:03:02 pm	I	1	1		0		0
26	6/11/2026 12:35:15 pm	I	1	1		0		0
26	6/30/2026 6:05:59 am	I	1	1		0		0
27	6/10/2026 7:37:36 am	I	1	1		0		0
27	6/10/2026 12:03:18 pm	I	1	1		0		0
27	6/10/2026 12:24:30 pm	I	15	1		0		0
27	6/10/2026 5:00:09 pm	I	1	1		0		0
27	6/11/2026 8:03:01 am	I	15	1		0		0
27	6/11/2026 12:00:36 pm	I	1	1		0		0
27	6/11/2026 12:29:59 pm	I	1	1		0		0
27	6/30/2026 6:05:51 am	I	1	1		0		0
28	6/10/2026 7:39:16 am	I	15	1		0		0
28	6/10/2026 12:01:11 pm	I	15	1		0		0
28	6/10/2026 5:00:44 pm	I	15	1		0		0
28	6/11/2026 7:43:42 am	I	15	1		0		0
28	6/11/2026 12:02:27 pm	I	15	1		0		0
28	6/11/2026 12:57:15 pm	I	15	1		0		0
28	6/11/2026 5:01:32 pm	I	1	1		0		0
28	6/30/2026 6:03:31 am	I	1	1		0		0
29	6/10/2026 7:42:39 am	I	15	1		0		0
29	6/10/2026 12:02:53 pm	I	15	1		0		0
29	6/10/2026 12:45:18 pm	I	15	1		0		0
29	6/10/2026 6:11:57 pm	I	1	1		0		0
29	6/11/2026 7:39:23 am	I	1	1		0		0
29	6/11/2026 12:40:40 pm	I	15	1		0		0
29	6/30/2026 8:00:16 am	I	1	1		0		0
30	6/10/2026 7:50:16 am	I	1	1		0		0
30	6/10/2026 12:04:12 pm	I	15	1		0		0
30	6/10/2026 12:28:21 pm	I	15	1		0		0
30	6/11/2026 7:51:24 am	I	15	1		0		0
30	6/11/2026 12:01:57 pm	I	1	1		0		0
30	6/11/2026 12:16:55 pm	I	15	1		0		0
30	6/11/2026 5:04:04 pm	I	1	1		0		0
30	6/30/2026 5:50:27 am	I	1	1		0		0
31	6/10/2026 8:59:25 am	I	1	1		0		0
31	6/10/2026 12:00:30 pm	I	1	1		0		0
31	6/10/2026 12:34:41 pm	I	15	1		0		0
31	6/10/2026 5:00:16 pm	I	1	1		0		0
31	6/11/2026 7:14:48 am	I	15	1		0		0
31	6/11/2026 12:04:33 pm	I	1	1		0		0
31	6/11/2026 12:21:27 pm	I	1	1		0		0
31	6/11/2026 5:00:29 pm	I	1	1		0		0
31	6/30/2026 7:37:37 am	I	1	1		0		0
32	6/11/2026 4:53:27 pm	I	15	1		0		0
32	6/30/2026 7:30:54 am	I	1	1		0		0
33	6/30/2026 7:22:51 am	I	1	1		0		0
34	6/30/2026 7:46:34 am	I	1	1		0		0
36	6/30/2026 9:54:14 am	I	1	1		0		0
37	6/30/2026 9:54:09 am	I	1	1		0		0
38	6/30/2026 8:40:26 am	I	1	1		0		0
39	6/30/2026 10:07:26 am	I	1	1		0		0
40	6/30/2026 7:40:13 am	I	1	1		0		0
42	6/30/2026 7:52:33 am	I	1	1		0		0
43	6/30/2026 5:46:12 am	I	1	1		0		0
44	6/30/2026 5:56:00 am	I	1	1		0		0
45	6/30/2026 9:20:55 am	I	1	1		0		0
46	6/30/2026 7:47:21 am	I	1	1		0		0
47	6/30/2026 6:02:07 am	I	1	1		0		0
48	6/30/2026 10:55:02 am	I	1	1		0		0
49	6/30/2026 7:51:15 am	I	1	1		0		0
50	6/30/2026 7:52:57 am	I	1	1		0		0
51	6/30/2026 7:38:23 am	I	1	1		0		0
53	6/30/2026 5:34:14 am	I	1	1		0		0
54	6/30/2026 7:40:06 am	I	1	1		0		0
55	6/30/2026 8:57:54 am	I	1	1		0		0
55	6/30/2026 11:04:13 am	O	1	1		0		0
55	6/30/2026 11:13:06 am	i	1	1		0		0
56	6/30/2026 6:05:00 am	I	1	1		0		0
58	6/30/2026 5:58:49 am	I	1	1		0		0
59	6/30/2026 5:48:18 am	I	1	1		0		0
60	6/30/2026 6:02:22 am	I	1	1		0		0
61	6/30/2026 6:00:18 am	I	1	1		0		0
62	6/30/2026 10:09:19 am	I	1	1		0		0
64	6/30/2026 6:53:54 am	I	1	1		0		0
66	6/29/2026 11:07:00 pm	o	1	1		0		0
67	6/29/2026 10:36:06 pm	i	1	1		0		0
67	6/30/2026 7:05:12 am	O	1	1		0		0
68	6/30/2026 9:23:31 am	I	1	1		0		0
69	6/30/2026 11:00:03 am	I	1	1		0		0
70	6/30/2026 5:50:42 am	I	1	1		0		0
71	6/30/2026 5:44:30 am	I	1	1		0		0
72	6/30/2026 7:43:09 am	I	1	1		0		0
73	6/30/2026 7:45:49 am	I	1	1		0		0
74	6/30/2026 6:36:28 am	I	1	1		0		0
75	6/30/2026 5:43:52 am	I	1	1		0		0
76	6/30/2026 10:06:07 am	I	1	1		0		0
77	6/30/2026 6:04:12 am	I	1	1		0		0
78	6/30/2026 7:42:28 am	I	1	1		0		0
80	6/30/2026 5:51:22 am	I	1	1		0		0
81	6/30/2026 6:01:28 am	I	1	1		0		0
82	6/30/2026 5:58:54 am	I	1	1		0		0
83	6/30/2026 7:44:52 am	I	1	1		0		0
84	6/30/2026 10:06:53 am	I	1	1		0		0
85	6/30/2026 9:21:28 am	I	1	1		0		0
86	6/30/2026 7:45:18 am	I	1	1		0		0
87	6/30/2026 7:43:57 am	I	1	1		0		0
88	6/30/2026 8:27:10 am	I	1	1		0		0
89	6/30/2026 7:36:52 am	I	1	1		0		0
90	6/30/2026 5:50:22 am	I	1	1		0		0
91	6/30/2026 5:58:21 am	I	1	1		0		0
92	6/30/2026 6:05:09 am	I	1	1		0		0
93	6/30/2026 5:52:12 am	I	1	1		0		0
